screen_name,name,account_created,tweets,following,followers
DennysDiner,Denny's,9 years ago,14594,2435,500773
littlecaesars,Little Caesars,9 years ago,24414,487,264492
Keurig,Keurig,9 years ago,71159,3400,125069
indelight,InternationalDelight,9 years ago,17740,6290,32332
GMC,GMC,8 years ago,13810,6086,990503
adidasUS,adidas,9 years ago,15893,353,887822
Moto,Motorola Global,2 years ago,1544,105,79041
MotorolaUS,Motorola US,9 years ago,31581,16654,520476
OfficialMOPAR,MOPAR,7 years ago,12922,9585,152373
aleve,Aleve,5 months ago,18,0,30
CMEGroup,CMEGroup,10 years ago,37984,6609,688383
OracleCloud,Oracle Cloud,8 years ago,10839,675,63728
LiveNationNYC,Live Nation NYC,9 years ago,13958,1119,26204
PlayersTribune,The Players' Tribune,6 years ago,18289,2461,603976
Kia,Kia Motors America,9 years ago,30156,998,311509
WatchStadium,Stadium,5 years ago,77505,873,84281
IMG,IMG,9 years ago,2534,1042,40079
esports,Esports,9 months ago,740,21,275
RamTrucks,RamTrucks,8 years ago,9009,1315,377155
Dodge,Dodge,8 years ago,11564,15478,820218
FiatChrysler_NA,FCA-North America,11 years ago,25812,45201,648146
Cadillac,Cadillac,9 years ago,9793,1698,632554
Kia_Motors,Kia Motors Global,9 years ago,12366,718,219861
Jaguar,Jaguar,7 years ago,9004,1266,1050778
Chrysler,Chrysler,8 years ago,9710,2033,249358
Lexus,Lexus,9 years ago,21948,4570,920523
Buick,Buick,9 years ago,10671,2060,265191
mitsucars,Mitsubishi USA,9 years ago,6886,864,241627
MazdaUSA,Mazda USA,8 years ago,8257,9170,318145
FIATUSA,FIAT USA,8 years ago,9861,10664,230550
ChickfilANews,Chick-fil-A News,4 years ago,1444,2300,9405
Wendys,Wendy's,9 years ago,142144,1265,2772343
Arbys,Arby's,8 years ago,42477,76073,820439
Cinnabon,Cinnabon,8 years ago,257745,153967,173948
coldstoneng,Cold Stone Creamery,5 years ago,5037,1346,9313
BurgerKing,Burger King,8 years ago,21118,3896,1655474
AuntieAnnes,Auntie Anne's,9 years ago,72099,32925,58222
oscarmayer,Oscar Mayer,8 years ago,8125,807,25784
rockstarenergy,RockstarEnergyDrink,9 years ago,16340,2400,346132
Hardees,Hardee's,10 years ago,13895,4393,69364
pizzahut,Pizza Hut,10 years ago,411713,91811,1578663
ChickfilA,"Chick-fil-A, Inc.",10 years ago,116982,7781,932929
SUBWAY,SUBWAYÂ®,9 years ago,57053,31909,2358904
dunkindonuts,Dunkin' Donuts,11 years ago,79159,56438,1181507
dominos,Domino's Pizza,9 years ago,356048,662,1251239
PandaExpress,Panda Express,9 years ago,22930,2178,55095
jcpenney,JCPenney,9 years ago,57810,741,458391
Kmart,Kmart,6 years ago,67137,2910,173989
jimmyjohns,Jimmy John's,9 years ago,280766,15352,497768
hbpizza,Hunt Brothers Pizza,8 years ago,3506,255,4814
Tostitos,Tostitos,7 years ago,4953,25,33684
Sears,Sears,9 years ago,78487,10185,207105
Breyers,Breyers,8 years ago,17227,138,117086
Wienermobile,WIENERMOBILE,10 years ago,7655,1322,17969
Oreo,Oreo Cookie,8 years ago,26064,211,835302
Swiffer,Swiffer,7 years ago,7993,1494,54562
originalnathans,Nathan's Famous,4 years ago,3023,453,6316
SamuelAdamsBeer,Samuel Adams Beer,6 years ago,47146,869,82734
Quaker,QuakerOats,9 years ago,22031,4250,188013
Pillsbury,Pillsbury,8 years ago,22494,11547,146327
ColdStone,Cold Stone Creamery,9 years ago,13074,20134,62055
BettyCrocker,Betty Crocker,10 years ago,17566,31316,152364
butterball,Butterball,9 years ago,4708,3239,52834
Fritolay,Frito-Lay N. America,9 years ago,24058,4341,316006
PepperidgeFarm,Pepperidge Farm,9 years ago,10825,9505,53500
Klondikebar,Klondike,10 years ago,8564,264,119371
RealDuncanHines,Duncan Hines,9 years ago,6149,1451,64179
BaskinRobbins,Baskin-Robbins,10 years ago,8116,9469,186320
Applebees,Applebee's,8 years ago,685044,388217,623308
reeses,REESE'S,7 years ago,14104,1114,272629
Pringles,Pringles,8 years ago,11711,627,411986
LittleDebbie,Little Debbie,9 years ago,9940,11729,178399
LAYS,LAY'S,8 years ago,39715,2413,448581
Gatorade,Gatorade,9 years ago,21834,3326,332699
Chilis,Chili's Grill & Bar,9 years ago,399098,27364,393524
SNICKERS,SNICKERSÂ®,9 years ago,11341,305,331459
Tropicana,Tropicana,9 years ago,16150,2507,183065
Hostess_Snacks,Hostess Snacks,9 years ago,24882,1912,101597
Nesquik,Nesquik,9 years ago,28366,2636,77909
cheerios,Cheerios,9 years ago,12911,561,83474
JuicyJuiceUSA,Juicy Juice,9 years ago,5062,519,46070
Sunkist,Sunkist Growers,9 years ago,13648,7363,69510
RUFFLES,RUFFLES,5 years ago,2388,250,57501
esurance,Esurance,10 years ago,12969,163,126365
redlobster,Red Lobster,11 years ago,32435,318,306134
RocketMortgage,Rocket Mortgage by Quicken Loans,2 years ago,443,243,3081
Bertolli,Bertolli,8 years ago,2516,1453,20100
GEICO,GEICO,9 years ago,16575,1900,61360
ask_progressive,Progressive Ins.,9 years ago,9483,143,15025
AngiesList,Angie's List,10 years ago,33691,3065,38722
ICBINotButter,ICantBelieveItsNot,8 years ago,2349,3713,40893
JennyCraig,Jenny Craig,9 years ago,7085,569,15513
Hyundai,Hyundai USA,9 years ago,25978,9941,343786
BigLots,Big Lots,10 years ago,11172,1055,166739
NissanUSA,Nissan,9 years ago,37908,3256,740732
BananaRepublic,Banana Republic,9 years ago,19358,1121,310076
Coffeemate,Coffee-mate,9 years ago,23962,564,57783
Experian,Experian,8 years ago,16843,2076,17660
Downy,Downy,7 years ago,6932,1570,98757
ExperianMkt_UK,Experian Marketing,10 years ago,18700,7155,20708
Experian_US,Experian,8 years ago,55000,5178,26869
LeanCuisine,Lean Cuisine,7 years ago,12891,168,12696
ChubbNA,Chubb North America,9 years ago,22945,27743,45154
Nissan,Nissan,7 years ago,6503,458,729100
Prudential,Prudential,5 years ago,4401,87,144976
DairyQueen,Dairy Queen,9 years ago,44891,9483,472975
Reebok,Reebok,9 years ago,36062,5454,732966
Bayer,Bayer AG,8 years ago,6977,2332,155431
tacobell,Taco Bell,11 years ago,790449,54,1871166
Mayhem,Mayhem,4 years ago,1444,6,118147
BestBuy_Deals,Best Buy Deals,9 years ago,9884,4,412263
BBYNews,Best Buy News,8 years ago,4173,851,41112
BofAML,BofAML,4 years ago,4355,181,139936
bbfb_bestbuy,Best Buy Business,9 years ago,409,454,6637
kfc,KFC,10 years ago,38193,11,1290771
Chubb,Chubb,9 years ago,3181,803,23174
fanta,Fanta,7 years ago,8167,1741,156981
PapaJohns,Papa John's Pizza,9 years ago,49104,2636,587363
TysonBrand,Tyson Brand,5 years ago,2050,655,1036
stouffers,STOUFFER'S,9 years ago,25351,406,41790
HillshireFarm,Hillshire Farm,7 years ago,3251,1308,10198
JimmyDean,Jimmy Dean,7 years ago,6598,521,13020
Sensodyne_US,Sensodyne US,3 years ago,4617,212,3661
OldNavy,Old Navy Official,9 years ago,20038,2977,350889
Honda,Honda,9 years ago,201461,1600,929932
keybank,KeyBank,6 years ago,4567,2724,21165
Jeep,Jeep,8 years ago,11628,16466,924010
Vegas,Vegas,9 years ago,99203,19544,456155
BallParkBrand,Ball Park Brand,6 years ago,3806,563,10211
TMobiledeals,T-Mobile Deals,4 years ago,946,92,7573
TMobileArena,T-Mobile Arena,2 years ago,4678,475,25327
TMobile,T-Mobile,9 years ago,433333,13010,1057485
TMobileBusiness,T-Mobile Business,6 years ago,3070,1703,24673
ComcastUtah,Comcast Utah,3 years ago,1313,367,454
HPGraphicArts,HP Graphic Arts,8 years ago,19387,4874,21502
HRBlockNews,H&R Block News,5 years ago,1897,414,4308
DellEMCServices,Dell EMC Services,8 years ago,11094,667,16531
IBMCanada,IBM Canada,6 years ago,6448,4001,7556
humananews,HumanaNews,5 years ago,2619,311,7537
IBMindustries,IBM Industries,9 years ago,10188,2517,23073
IBMDataScience,IBM Data Science,2 years ago,4480,763,7424
ComcastOrSWWa,Comcast Oregon/SW Wa,9 years ago,3014,1540,1840
DellSmbUS,Dell For Business US,10 years ago,5714,1036,37915
IBMBlockchain,IBM Blockchain,2 years ago,3176,828,55754
IBMcloud,IBM Cloud,7 years ago,36783,3308,153925
dellhome,DellHome,10 years ago,12466,530,90259
IBMAnalytics,IBM Analytics,7 years ago,43225,1857,177758
DellSmbCA,DellSmbCA,9 years ago,9940,2961,12171
IBM_iX,IBM iX,9 years ago,5491,1294,17944
DellEMC_CI,Dell EMC Converged,7 years ago,8411,1913,28113
ComcastCA,Comcast California,7 years ago,13777,2270,2972
comcastcares,ComcastCares,10 years ago,923093,156039,194649
comcastbusiness,Comcast Business,6 years ago,9841,969,149110
HPE_Careers,HPE Careers,3 years ago,7039,1264,48059
HPE,HPE,7 years ago,14920,1686,59102
HPBusiness,HP Business,9 years ago,14112,972,38679
HPCareers,HP Careers,7 years ago,16303,605,17869
CitiPrivatePass,CitiÂ® Private PassÂ®,9 years ago,11379,19010,77324
CiscoServices,Cisco Services,9 years ago,6013,982,13564
GMFleet,General Motors Fleet,4 years ago,340,57,11664
HomeDepotGR,Home Depot GR,6 years ago,799,1057,2397
CocaColaRacing,Coca-Cola Racing,9 years ago,11388,104,130899
CitiVentures,Citi Ventures,4 years ago,796,259,2061
DisneyPixar,Disneyâ¢Pixar,9 years ago,6938,147,11253885
GetSpectrum,Spectrum,8 years ago,37960,1853,130883
forduk,Ford UK,9 years ago,9267,3264,117067
Citilabs,Citilabs,7 years ago,569,435,469
CiscoTrust,Cisco Trust,11 months ago,1293,217,564
Foxconn_PR,FoxConn PR Dept,8 years ago,105,721,993
FordCanada,Ford Canada,7 years ago,11729,1497,64819
Citibank,Citibank,8 years ago,10907,35266,384994
CiscoDigital,Cisco Digital,5 years ago,9176,1187,20065
discoveryfamily,Discovery Family,8 years ago,7737,1471,48038
FedExOffice,FedEx Office,6 years ago,4223,320,48396
FedExHelp,FedEx Help,5 years ago,291273,158,35714
FedExNews,FedEx News,about a year ago,161,1911,12393
TWDS_Careers,DisneyStudiosCareers,9 years ago,17757,165,101088
CiscoCSR,Cisco CSR,8 years ago,14228,672,15752
CiscoDevNet,Cisco DevNet,4 years ago,13234,4214,18055
CiscoCollab,Cisco Collaboration,10 years ago,17016,494,122576
fbplatform,Facebook for Developers,9 years ago,1353,138,173108
EA,Electronic Arts,10 years ago,29324,468,5183889
CiscoCloud,Cisco Cloud,7 years ago,8509,2919,34916
Equifax,Equifax Inc.,7 years ago,2705,1131,16154
CenturyLink_Gov,CenturyLinkGov,about a year ago,924,63,6607
CenturyLinkBiz,CenturyLink Business,5 years ago,4049,7764,55406
CapitalOneTech,Capital One Tech,6 years ago,1177,492,5139
DisneyStudiosCA,WaltDisneyStudiosCAN,5 years ago,4170,271,35245
CenturyLinkEnt,CenturyLink Business,9 years ago,11902,3321,28275
VerizonNews,Verizon News,8 years ago,14414,42,357387
CapitalOneCB,Commercial Banking,6 years ago,509,180,1797
DisneyStudios,Walt Disney Studios,9 years ago,9318,307,4962726
UTCpolicy,UTC Policy,about a year ago,1254,731,1259
AppleNews,Apple News,3 years ago,4240,188,218262
UTCAeroSystems,UTC AerospaceSystems,6 years ago,2469,415,11718
BoeingDefense,Boeing Defense,9 years ago,11426,1475,201289
AppleMusicJapan,Apple Music Japan,3 years ago,1316,14,54344
unisyscorp,Unisys Corporation,9 years ago,39648,2099,36167
USMerckProducts,US Merck Products,4 years ago,175,229,10349
AppleMusic,Apple Music,8 years ago,31480,1323,9327501
BoeingAustralia,Boeing Australia,6 months ago,219,185,1232
DisneyMusic,Disney Music,9 years ago,8525,239,425397
UnileverFoundry,The Unilever Foundry,4 years ago,2263,467,25541
AmazonBusiness,Amazon Business,3 years ago,154,32,6407
DisneyMeeting,Disney Meetings,8 years ago,3913,821,5207
BoeingAirplanes,Boeing Airplanes,9 years ago,7728,496,455900
Disneyland,Disneyland Resort,10 years ago,23747,43,1315143
amazonmusic,Amazon Music,10 years ago,19581,2479,1535889
amazonfiretv,Fire TV ðº,4 years ago,2319,409,39124
BayerPharma,Bayer Pharma,9 years ago,7082,854,135446
Tweetacoffee,Tweetacoffee,5 years ago,103865,1,16951
Uber,Uber,9 years ago,15130,376,936664
AppStore,App Store,8 years ago,8400,21,4573384
AppStoreGames,App Store Games,3 years ago,2393,209,331231
DisneyInstitute,Disney Institute,9 years ago,12302,1447,117219
ATTBusiness,AT&T Business,9 years ago,10068,7549,88353
AetnaNews,Aetna News,3 years ago,2737,289,50144
TravelersChamp,TravelersChamp,9 years ago,7357,964,13132
DisneyCruise,Disney Cruise Line,9 years ago,5760,293,408942
aflacduck,Aflac Duck,9 years ago,7252,5872,65688
Ticketmaster,Ticketmaster,9 years ago,54374,34566,381222
DisneyAulani,DisneyAulani,6 years ago,3635,53,59656
AdobeSpark,Adobe Spark,3 years ago,12596,1654,29842
adobestock,Adobe Stock,3 years ago,2783,215,28984
StarwoodBuzz,Starwood Hotels,9 years ago,25252,56855,225346
AppleTV,Apple TV,8 years ago,8752,97,973184
DimensionFilms,Dimension Films,9 years ago,3057,7525,233745
Starbucksnews,Starbucks News,9 years ago,5248,5263,110969
AppleNewsUK,Apple News UK,2 years ago,2755,151,60156
SamsungDevUS,Samsung Developer,6 years ago,1500,1960,11596
LiveNationINDO,LiveNation Indonesia,3 years ago,516,28,17030
DellTech,Dell Technologies,2 years ago,2422,291,21291
IBMpolicy,IBMPolicy,6 years ago,2453,1293,4194
AdobeExpCloud,Experience Cloud,10 years ago,28157,1670,159570
SamsungSemiUS,Samsung Semicon,8 years ago,3877,390,8998
AdobeDocCloud,Adobe Document Cloud,9 years ago,14522,3775,41181
sprint,Sprint,10 years ago,37967,3944,419542
AdobePremiere,Adobe Premiere Pro,8 years ago,17524,1378,254350
StarbucksCanada,Starbucks Canada,8 years ago,34270,5490,355073
SpiritAirlines,Spirit Airlines,9 years ago,58683,66,87890
IBMStorage,IBM Storage,10 years ago,23101,1177,34976
Sony,Sony,9 years ago,23538,1681,4211430
LiveNationHOU,Live Nation Houston,9 years ago,6272,13943,31041
IBMSports,IBM Sports & Entertainment,9 years ago,2325,1033,13271
IBMServices,IBM Services,10 years ago,6585,1361,38564
itunesfestival,iTunes Festival,9 years ago,2808,60,305918
SamsungNewsUS,Samsung US Newsroom,2 years ago,1346,1027,4559
LiveNationDet,Live Nation Detroit,9 years ago,7608,979,9753
SoFi,SoFi,7 years ago,8093,1966,56330
IBMSecurity,IBM Security,9 years ago,23504,2652,54058
LiveNationCNY,LiveNationCNY,2 years ago,1125,284,780
iTunes,iTunes,9 years ago,4681,107,1264890
IrisByLowes,Iris by Lowe's,6 years ago,4080,391,6540
LendingTree,LendingTree,9 years ago,12825,743,7991
IntelGaming,Intel Gaming,6 years ago,7159,565,626281
IBMNews,IBM News Room,9 years ago,7677,302,90101
SamsungMobileUS,Samsung Mobile US,10 years ago,156572,20083,5065908
KraftBrand,Kraft,11 months ago,1429,152,2458
IntelStorage,Intel Storage,9 years ago,1976,1064,17801
samsung_dev,SAMSUNG DEVELOPERS,9 years ago,5192,759,31297
SamsungCanada,Samsung Canada,8 years ago,21029,3754,60827
ibmmobile,IBM Mobile,7 years ago,22302,2040,72665
IntelSoftware,Intel Software,11 years ago,11739,5814,112187
McDonaldsCanada,McDonald's Canada,8 years ago,66169,5107,121020
McDonaldsCorp,McDonald's,8 years ago,252677,9646,166412
IntelBusiness,Intel Business,9 years ago,29596,1891,204796
insatiable_,insatiable,3 months ago,293,17,22680
MastercardNews,Mastercard News,9 years ago,25080,4842,94227
IntelSmallBiz,IntelSmallBiz,4 years ago,3227,1418,2868
iTunesTrailers,iTunes Trailers,9 years ago,2372,291,2619048
IntelSecurity,Intel Security,4 years ago,6901,116,33269
LiveNationPNW,LIVE NATION PNW,9 years ago,3384,718,1976
SamsungBizUSA,Samsung Business USA,6 years ago,10367,1641,84892
jpmorganfunds,J.P. Morgan Funds,8 years ago,7635,191,84624
NestleUSA,NestlÃ© US,8 years ago,9001,8825,76669
NvidiaAI,NVIDIA AI,2 years ago,3429,734,34477
SalesforceCA,SalesforceCA,2 years ago,3022,863,13517
SalesforceDevs,Salesforce Developers,11 years ago,12495,1008,96277
iTunesTV,iTunes TV,8 years ago,8526,537,702553
IBMWatson,IBM Watson,9 years ago,12168,1655,228589
Inteliot,Intel IoT,9 years ago,11515,913,128735
MastercardCA,Mastercard Canada,6 years ago,16755,2867,32047
redbull_radio,Red Bull Radio,6 years ago,24845,3356,26398
NestlePureLife,NestlÃ© Pure Life,about a year ago,694,9,1394
NVIDIAGeForce,NVIDIA GeForce,8 years ago,10419,1092,1361596
LNSource,Live Nation Source,3 years ago,3424,905,2418
iTunesMusic,iTunes Music,3 years ago,1,0,3826
Nestle,NestlÃ©,9 years ago,12355,670,222756
NVIDIASHIELD,NVIDIA SHIELD,4 years ago,6370,414,66968
redbullesports,Red Bull Esports,8 years ago,20198,327,264532
RedBullZA,Red Bull,8 years ago,26555,1277,96782
RedBullUK,Red Bull UK,8 years ago,50400,3560,174840
redbullracing,Red Bull Racing,7 years ago,18883,13532,2218939
RaytheonCyber,Raytheon Cyber,3 years ago,2095,272,19846
redbull,Red Bull,9 years ago,95767,27875,2083380
MylanNews,Mylan,7 years ago,1375,181,7936
NikeStoreEurope,Nike.com,9 years ago,59431,865,643871
NikeRunning,Nike+ Run Club,7 years ago,171803,250,887873
microsoftcanada,Microsoft Canada,9 years ago,15710,1462,42125
MicrosoftDesign,Microsoft Design,7 years ago,4378,1434,119670
nikestore,Nike.com,9 years ago,333623,162,4519269
PayPal4Business,PayPal For Business,6 years ago,9769,3166,17458
NikeUK,Nike UK,6 years ago,24982,235,437255
nikefootball,Nike Football,9 years ago,45823,483,3422093
radiodisney,RADIO DISNEY,8 years ago,35796,4698,2122640
Microsoft365,Microsoft 365,about a year ago,562,42,78138
NFLFanStyle,NFL Fan Style,6 years ago,2948,943,10827
PrimeVideo,Amazon Prime Video,9 years ago,48429,919,381892
nflnetwork,NFL Network,9 years ago,113696,1956,3548597
QuadCitiesCW,Quad Cities CW,7 years ago,707,99,248
nikesoccer,Nike Soccer,10 years ago,23980,111,2240611
nikesportswear,Nike Sportswear,8 years ago,9810,57,1465216
OracleSMB,Oracle for SMB,5 years ago,3060,974,1894
PrimeVideoKids,Prime Video Kids,2 years ago,1474,122,12885
NikeLab,NIKELAB,9 years ago,5771,9,445111
NFLExperience,NFL Experience,2 years ago,1104,200,2878
OracleHealthSci,OracleHealthSciences,9 years ago,6808,1128,5596
OracleSecurity,Oracle Security,7 years ago,3802,739,5163
OracleEPPM,Oracle Construction and Engineering,9 years ago,4477,1138,6443
NVIDIAVirt,NVIDIA VIRT,5 years ago,4555,2516,9350
Xfinity,Xfinity,10 years ago,54836,3236,196119
PepsiCo,PepsiCo,9 years ago,26223,14868,326993
NVIDIADC,NVIDIA Data Center,8 years ago,6309,1798,33675
WorldofCocaCola,World of Coca-Cola,9 years ago,15680,2219,186888
PrimeVideoIN,Amazon PrimeVideo IN,2 years ago,3774,32,81756
PlayStation,PlayStation,10 years ago,27746,803,15628023
primevideouk,Prime Video UK,9 years ago,58979,0,103478
WindowsUK,Windows UK,8 years ago,9943,81,26870
JackBox,Jack Box,9 years ago,17269,10945,94723
avonworldwide,Avon Worldwide,6 years ago,6369,1172,23898
VistraEnergy,Vistra,2 years ago,2,0,166
ABMFacilityServ,ABM Industries,6 years ago,1310,788,2008
UnSocialMe,EBIN,5 years ago,3,49,319
PolarisInd,Polaris Industries,6 years ago,72,16,365
Fiserv,Fiserv,9 years ago,9092,1333,17651
PXDtweets,Pioneer,5 years ago,144,131,636
harleydavidson,Harley-Davidson,9 years ago,12829,1408,418134
peabodyenergy,Peabody,6 years ago,1722,721,8610
CintasCorp,Cintas Corporation,9 years ago,2369,1631,7090
justplncate,Snake Plushkitten: Escape From Twytter,7 years ago,49599,53,514
NetApp,NetApp,10 years ago,19586,3449,128493
Clorox,Clorox,8 years ago,7408,5345,105781
Cheniere,Cheniere Energy Inc.,about a year ago,56,154,1111
WesternUnion,Western Union,9 years ago,50729,1302,645512
onsemi,ON Semiconductor,9 years ago,4443,1087,17863
Windstream,Windstream,9 years ago,5817,2434,20665
SimonPropertyGp,Simon,7 years ago,1156,424,3694
TheNTGolf,THE NORTHERN TRUST,9 years ago,2552,706,11651
ultabeauty,Ulta Beauty,9 years ago,68102,3240,627259
ICE_Markets,ICE,9 years ago,4371,3489,37032
AmTrustInsured,AmTrust Insurance,5 years ago,2368,2911,2592
BoozAllen,Booz Allen Hamilton,9 years ago,15350,904,47610
MagellanHealth,Magellan Health,7 years ago,2089,702,1395
FirstAm,First American,6 years ago,337,122,1897
WesternSouthern,Western & Southern,9 years ago,3316,1492,3030
wyndestinations,Wyndham Destinations,2 years ago,48,29,240
tollbrothersinc,"Toll Brothers, Inc.",9 years ago,4281,767,14533
Ingredion,Ingredion,6 years ago,130,42,1605
Regeneron,Regeneron,9 years ago,3283,261,13311
yumbrands,Yum! Brands,10 years ago,2383,529,18922
GallagherGlobal,Gallagher,8 years ago,3713,1013,6297
KKR_Co,KKR & Co.,6 years ago,2426,488,13688
Conduent,Conduent,8 years ago,5917,932,15383
Securian,Securian Financial,9 years ago,1133,205,1707
Burlington,Burlington,7 years ago,5845,1540,12600
TATravelCenters,TravelCentersTAPetro,8 years ago,4981,115,6893
MandT_Bank,M&T Bank,8 years ago,2938,1451,9544
askRegions,Regions Bank,6 years ago,40449,257,21402
SPGlobalRatings,S&P Global Ratings,8 years ago,11470,762,96344
iHeartMedia,iHeartMedia,8 years ago,1501,802,21160
celanese,Celanese,7 years ago,4263,154,3357
Sealed_Air,Sealed Air,9 years ago,1487,724,3724
chemours,The Chemours Company,4 years ago,1880,249,5654
Realogy,Realogy,9 years ago,397,105,3337
UGI_Utilities,UGI Utilities,8 years ago,5274,272,2475
AmerenCorp,Ameren Corporation,9 years ago,2778,308,30664
FTI_US,Franklin Templeton,7 years ago,6333,258,91813
Assurant,Assurant,6 years ago,5300,1314,2192
HDSupply,HD Supply,5 years ago,1596,203,5816
OwensCorning,Owens Corning,9 years ago,4011,7,16563
WynnLasVegas,Wynn Las Vegas,9 years ago,14851,8196,586653
RaymondJames,Raymond James,9 years ago,6147,423,13189
NCRCorporation,NCR Corporation,9 years ago,14636,7092,19123
CitizensBank,Citizens Bank,7 years ago,27748,2097,21050
Hanes,Hanes,9 years ago,4106,2364,24134
AsburyAutoGroup,Asbury Automotive,3 years ago,425,51,350
MotoSolutions,Motorola Solutions,7 years ago,12845,2653,21914
Dillards,Dillard's,9 years ago,3937,317,28759
packagingcorp,Packaging Corp,4 years ago,1388,419,1171
ROKAutomation,Rockwell Automation,9 years ago,7637,2291,32874
AmericanAxle,AAM,3 years ago,1291,224,1361
amphenol,Amphenol Corporation,5 years ago,33,26,490
United_Rentals,United Rentals,9 years ago,3722,518,5502
Starbucks,Starbucks Coffee,11 years ago,146430,97082,11491089
DollarGeneral,Dollar General,8 years ago,8929,2317,77674
LasVegasSands,Las Vegas Sands,7 years ago,1756,1625,4208
dressbarn,dressbarn,10 years ago,5467,3061,10269
Progressive,Progressive,11 years ago,21083,7711,57691
Marriott,Marriott Hotels,10 years ago,76519,85,295835
Qualcomm_latam,Qualcomm Latam,6 years ago,1614,515,12879
JLL,JLL,9 years ago,16829,1067,72728
Travelers,Travelers,9 years ago,7013,238,63514
TractorSupply,Tractor Supply,6 years ago,437,121,5973
DoverCorp,Dover,6 years ago,131,62,526
USFoods,US Foods,6 years ago,10506,3088,16047
mutualofomaha,Mutual of Omaha,8 years ago,4189,12612,35969
DominionEnergy,Dominion Energy,8 years ago,1772,1025,4430
USAA,USAA,9 years ago,8711,3950,117773
JCPenneyCareers,JCPenneyCareers,4 years ago,412,1226,866
BldrFirstSource,Builders FirstSource,6 months ago,61,122,74
RockwellCollins,Rockwell Collins,10 years ago,7433,990,34081
northropgrumman,Northrop Grumman,10 years ago,11298,597,172279
EmcorpGroup,Emcorp Group,5 years ago,41,158,62
HiltonWorld,Paris Hilton Fans,7 years ago,21,14,33029
UnionPacific,Union Pacific,9 years ago,2664,86,41831
